tecnica,model,fold,accuracy,precision,recall,f1,best_params,configuracao
TF-IDF,DT,5,0.5605,0.5326673866090713,0.9865,0.6917952314165497,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,LR,1,0.71325,0.6747234739860712,0.8235,0.7417248367484801,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,LR,2,0.6965,0.6633416458852868,0.798,0.7244666364049024,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,LR,3,0.7035,0.6687396351575456,0.8065,0.7311876699909338,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,LR,4,0.713,0.6836206896551724,0.793,0.7342592592592593,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,LR,5,0.70725,0.6688391038696537,0.821,0.7371492704826038,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,RF,1,0.66125,0.6133567662565905,0.8725,0.7203302373581011,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,RF,2,0.6545,0.6116329479768786,0.8465,0.7101510067114094,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,RF,3,0.67975,0.6303953572723975,0.869,0.7307126340130334,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,RF,4,0.67225,0.6266078647556046,0.8525,0.7223045964837959,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,RF,5,0.66525,0.6174067495559503,0.869,0.7219106957424715,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,SVM,1,0.7005,0.6465643274853801,0.8845,0.747043918918919,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
